,candidate,state,date,time_bucket,prop,abbreviation,party
84,Hillary Clinton,Missouri,March 15,28,49.6,MO,D
85,Hillary Clinton,Nebraska,March 5,26,42.9,NE,D
86,Hillary Clinton,Nevada,February 20,24,52.6,NV,D
87,Hillary Clinton,New Hampshire,February 9,23,38,NH,D
88,Hillary Clinton,North Carolina,March 15,28,54.6,NC,D
89,Hillary Clinton,Ohio,March 15,28,56.5,OH,D
90,Hillary Clinton,Oklahoma,March 1,26,41.5,OK,D
91,Hillary Clinton,South Carolina,February 27,25,73.5,SC,D
92,Hillary Clinton,Tennessee,March 1,26,66.1,TN,D
93,Hillary Clinton,Texas,March 1,26,65.2,TX,D
94,Hillary Clinton,Utah,March 22,29,20.3,UT,D
95,Hillary Clinton,Vermont,March 1,26,13.6,VT,D
96,Hillary Clinton,Virginia,March 1,26,64.3,VA,D
182,Hillary Clinton,Wyoming,April 9,31,44.3,WY,D
191,Hillary Clinton,Alaska,March 26,29,18.4,AK,D
193,Hillary Clinton,Hawaii,March 26,29,30,HI,D
195,Hillary Clinton,Washington,March 26,29,27.1,WA,D
203,Hillary Clinton,New York,April 19,33,58,NY,D
204,Hillary Clinton,Connecticut,April 26,34,51.8,CT,D
209,Hillary Clinton,Delaware,April 26,34,59.8,DE,D
218,Hillary Clinton,Maryland,April 26,34,63,MD,D
223,Hillary Clinton,Pennsylvania,April 26,34,55.6,PA,D
228,Hillary Clinton,Rhode Island,April 26,34,43.3,RI,D
230,Hillary Clinton,Indiana,May 3,35,47.5,IN,D
238,Hillary Clinton,West Virginia,May 10,36,35.8,WV,D
97,Jeb Bush,Iowa,February 1,22,2.8,IA,R
98,Jeb Bush,New Hampshire,February 9,23,11,NH,R
99,Jeb Bush,South Carolina,February 20,24,7.8,SC,R
100,John Kasich,Alabama,March 1,26,4.4,AL,R
101,John Kasich,Arizona,March 22,29,10,AZ,R
102,John Kasich,Arkansas,March 1,26,3.7,AR,R
103,John Kasich,Florida,March 15,28,6.8,FL,R
104,John Kasich,Georgia,March 1,26,5.6,GA,R
105,John Kasich,Idaho,March 8,27,7.4,ID,R
106,John Kasich,Illinois,March 15,28,19.7,IL,R
107,John Kasich,Iowa,February 1,22,1.9,IA,R
108,John Kasich,Kentucky,March 5,26,14.4,KY,R
109,John Kasich,Louisiana,March 5,26,6.4,LA,R
110,John Kasich,Massachusetts,March 1,26,18,MA,R
111,John Kasich,Michigan,March 8,27,24.3,MI,R
112,John Kasich,Mississippi,March 8,27,8.8,MS,R
113,John Kasich,Missouri,March 15,28,9.9,MO,R
114,John Kasich,Nevada,February 23,25,3.6,NV,R
115,John Kasich,New Hampshire,February 9,23,15.8,NH,R
116,John Kasich,North Carolina,March 15,28,12.7,NC,R
117,John Kasich,Ohio,March 15,28,46.8,OH,R
118,John Kasich,Oklahoma,March 1,26,3.6,OK,R
119,John Kasich,South Carolina,February 20,24,7.6,SC,R
120,John Kasich,Tennessee,March 1,26,5.3,TN,R
121,John Kasich,Texas,March 1,26,4.2,TX,R
122,John Kasich,Utah,March 22,29,16.8,UT,R
123,John Kasich,Vermont,March 1,26,30.4,VT,R
124,John Kasich,Virginia,March 1,26,9.4,VA,R
179,John Kasich,Maine,March 5,26,12.2,ME,R
186,John Kasich,Wyoming,March 12,27,0,WY,R
189,John Kasich,Nebraska,May 10,36,11.4,NE,R
198,John Kasich,Wisconsin,April 5,31,14.1,WI,R
200,John Kasich,New York,April 19,33,25.1,NY,R
207,John Kasich,Connecticut,April 26,34,28.4,CT,R
212,John Kasich,Delaware,April 26,34,20.4,DE,R
215,John Kasich,Maryland,April 26,34,23,MD,R
221,John Kasich,Pennsylvania,April 26,34,19.4,PA,R
225,John Kasich,Rhode Island,April 26,34,24.4,RI,R
233,John Kasich,Indiana,May 3,35,7.6,IN,R
236,John Kasich,Nebraska,May 10,36,11.4,NE,R
241,John Kasich,West Virginia,May 10,36,6.7,WV,R
125,Marco Rubio,Alabama,March 1,26,18.7,AL,R
126,Marco Rubio,Arkansas,March 1,26,24.9,AR,R
127,Marco Rubio,Florida,March 15,28,27,FL,R
128,Marco Rubio,Georgia,March 1,26,24.4,GA,R
129,Marco Rubio,Idaho,March 8,27,15.9,ID,R
130,Marco Rubio,Illinois,March 15,28,8.7,IL,R
131,Marco Rubio,Iowa,February 1,22,23.1,IA,R
132,Marco Rubio,Kentucky,March 5,26,16.4,KY,R
133,Marco Rubio,Louisiana,March 5,26,11.2,LA,R
134,Marco Rubio,Massachusetts,March 1,26,17.9,MA,R
135,Marco Rubio,Michigan,March 8,27,9.3,MI,R
136,Marco Rubio,Mississippi,March 8,27,5.1,MS,R
137,Marco Rubio,Missouri,March 15,28,6.1,MO,R
138,Marco Rubio,Nevada,February 23,25,23.9,NV,R
139,Marco Rubio,New Hampshire,February 9,23,10.6,NH,R
140,Marco Rubio,North Carolina,March 15,28,7.7,NC,R
141,Marco Rubio,Ohio,March 15,28,2.9,OH,R
142,Marco Rubio,Oklahoma,March 1,26,26,OK,R
