date,candidate,state,count
1,Rand Paul,South Carolina,0.07321321877287913
1,Rand Paul,Rhode Island,0.0018934453130917018
1,Rand Paul,Pennsylvania,0.5455226329829759
1,Rand Paul,Oregon,0.08646733596452104
1,Rand Paul,Oklahoma,0.06395637501998637
1,Rand Paul,Ohio,0.19818060943693144
1,Rand Paul,North Dakota,0.009677609378024253
1,Rand Paul,North Carolina,0.1706204609908189
1,Rand Paul,New York,0.47883128139963477
1,Rand Paul,New Mexico,0.022931726569666164
1,Rand Paul,New Jersey,0.015568328129865102
1,Rand Paul,New Hampshire,0.0035765078136176585
1,Rand Paul,Nevada,0.056592976580185306
1,Rand Paul,Nebraska,0.04165579688801744
1,Rand Paul,Montana,0.015989093754996592
1,Rand Paul,Missouri,0.12118050003786891
1,Rand Paul,Mississippi,0.029874359384335736
1,Rand Paul,Minnesota,0.07889355471215423
1,Rand Paul,Michigan,0.11949743753734295
1,Rand Paul,Massachusetts,0.13780074223056274
1,Rand Paul,Maryland,0.05322685157913339
1,Rand Paul,Maine,0.020407132818877228
1,Rand Paul,Louisiana,0.05764489064301403
1,Rand Paul,Kentucky,0.11213403909754188
1,Rand Paul,Kansas,0.02587708594558659
1,Rand Paul,Iowa,0.05238532032887041
1,Rand Paul,Indiana,0.11024059378445018
1,Rand Paul,Illinois,0.22973803132179313
1,Rand Paul,Idaho,0.021248664069140208
1,Rand Paul,Hawaii,0.012412585941378933
1,Rand Paul,Georgia,0.1876614688086442
1,Rand Paul,Florida,0.35807154698689736
1,Rand Paul,Delaware,0.0014726796879602124
1,Rand Paul,Connecticut,0.032609335947690415
1,Rand Paul,Colorado,0.10014221878129444
1,Rand Paul,California,0.609689390815528
1,Rand Paul,Arkansas,0.042076562513148924
1,Rand Paul,Arizona,0.1234947109760921
1,Rand Paul,Alaska,0.0117814375036817
1,Rand Paul,Alabama,0.062483695332026155
1,Rand Paul,All States,0.14390184379496931
1,Mike Huckabee,Wyoming,0.006521867189538084
1,Mike Huckabee,Wisconsin,0.10140451565668891
1,Mike Huckabee,West Virginia,0.048388046890121265
1,Mike Huckabee,Washington DC,0.20049482037515462
1,Mike Huckabee,Washington,0.15820787504943995
1,Mike Huckabee,Virginia,0.11907667191221145
1,Mike Huckabee,Vermont,0.0018934453130917018
1,Mike Huckabee,Utah,0.07321321877287913
1,Mike Huckabee,Texas,0.6473479142647962
1,Mike Huckabee,Tennessee,0.19292103912278782
1,Mike Huckabee,South Dakota,0.015147562504733614
1,Mike Huckabee,South Carolina,0.11045097659701593
1,Mike Huckabee,Rhode Island,0.0025245937507889357
1,Mike Huckabee,Pennsylvania,0.7624273127382586
1,Mike Huckabee,Oregon,0.11486901566089656
1,Mike Huckabee,Oklahoma,0.0938307344043221
1,Mike Huckabee,Ohio,0.2676069375836272
1,Mike Huckabee,North Dakota,0.015778710942430847
1,Mike Huckabee,North Carolina,0.23962602351238313
1,Mike Huckabee,New York,0.6749080627109088
1,Mike Huckabee,New Mexico,0.030084742196901482
1,Mike Huckabee,New Jersey,0.022090195319403184
1,Mike Huckabee,New Hampshire,0.002314210938223191
1,Mike Huckabee,Nevada,0.08310121096346913
1,Mike Huckabee,Nebraska,0.05007110939064722
